period,plantid,latitude,longitude,point_url
2023-01,6801,57.0497,-135.3128,"https://api.weather.gov/gridpoints/AJK/188,112/forecast"
2023-01,7493,55.061683,-162.3103,"https://api.weather.gov/gridpoints/ALU/593,93/forecast"
2023-01,6304,66.837778,-162.556944,"https://api.weather.gov/gridpoints/AFG/279,211/forecast"
2023-01,71,57.6861,-152.895,"https://api.weather.gov/gridpoints/AER/65,105/forecast"
2023-01,6281,57.789956,-152.396982,"https://api.weather.gov/gridpoints/AER/75,109/forecast"
2023-01,6282,57.864775,-152.855441,"https://api.weather.gov/gridpoints/AER/66,112/forecast"
2023-01,7723,57.731608,-152.507044,"https://api.weather.gov/gridpoints/AER/72,107/forecast"
2023-01,57187,57.7869,-152.4406,"https://api.weather.gov/gridpoints/AER/74,109/forecast"
2023-01,58405,57.799167,-152.404167,"https://api.weather.gov/gridpoints/AER/75,109/forecast"
2023-01,60250,57.77556,-152.48028,"https://api.weather.gov/gridpoints/AER/73,108/forecast"
2023-01,60563,57.780114,-152.443783,"https://api.weather.gov/gridpoints/AER/74,108/forecast"
2023-01,84,55.344641,-131.633425,"https://api.weather.gov/gridpoints/AJK/282,72/forecast"
2023-01,85,55.357397,-131.69696,"https://api.weather.gov/gridpoints/AJK/280,72/forecast"
2023-01,6580,55.37975,-131.470269,"https://api.weather.gov/gridpoints/AJK/285,75/forecast"
2023-01,6581,55.381402,-131.517758,"https://api.weather.gov/gridpoints/AJK/284,74/forecast"
2023-01,58977,55.328056,-131.530833,"https://api.weather.gov/gridpoints/AJK/284,72/forecast"
2023-01,58989,61.457778,-149.351389,"https://api.weather.gov/gridpoints/AER/134,245/forecast"
2023-01,6555,62.95699,-155.594997,"https://api.weather.gov/gridpoints/AFG/363,54/forecast"
2023-01,6301,58.730417,-157.007222,"https://api.weather.gov/gridpoints/ALU/725,212/forecast"
2023-01,6302,55.091263,-131.544978,"https://api.weather.gov/gridpoints/AJK/287,64/forecast"
2023-01,7112,55.121433,-131.560267,"https://api.weather.gov/gridpoints/AJK/286,65/forecast"
2023-01,7168,55.116879,-131.545879,"https://api.weather.gov/gridpoints/AJK/286,65/forecast"
2023-01,58380,61.286,-149.61,"https://api.weather.gov/gridpoints/AER/130,239/forecast"
2023-01,58425,61.13,-150.243611,"https://api.weather.gov/gridpoints/AER/119,233/forecast"
2023-01,1,55.339722,-160.497222,"https://api.weather.gov/gridpoints/ALU/634,96/forecast"
2023-01,59037,55.216389,-132.603611,"https://api.weather.gov/gridpoints/AJK/263,61/forecast"
2023-01,70,55.615208,-131.356111,"https://api.weather.gov/gridpoints/AJK/284,84/forecast"
2023-01,61166,56.216403,-131.504344,"https://api.weather.gov/gridpoints/AJK/274,105/forecast"
2023-01,54763,32.4541,-87.9759,"https://api.weather.gov/gridpoints/BMX/19,35/forecast"
2023-01,3,31.0069,-88.0103,"https://api.weather.gov/gridpoints/MOB/53,81/forecast"
2023-01,10,32.6017,-87.7811,"https://api.weather.gov/gridpoints/BMX/26,42/forecast"
2023-01,4,32.583889,-86.283056,"https://api.weather.gov/gridpoints/BMX/81,44/forecast"
2023-01,16,32.680394,-85.911442,"https://api.weather.gov/gridpoints/BMX/95,49/forecast"
2023-01,17,32.806025,-86.444892,"https://api.weather.gov/gridpoints/BMX/75,54/forecast"
2023-01,55409,33.5883,-85.9731,"https://api.weather.gov/gridpoints/BMX/90,89/forecast"
2023-01,55440,32.6497,-86.74,"https://api.weather.gov/gridpoints/BMX/64,46/forecast"
2023-01,55,31.361146,-86.518307,"https://api.weather.gov/gridpoints/MOB/108,100/forecast"
2023-01,533,31.400255,-86.476449,"https://api.weather.gov/gridpoints/MOB/109,102/forecast"
2023-01,7924,34.363389,-86.223889,"https://api.weather.gov/gridpoints/HUN/77,27/forecast"
2023-01,7063,31.2546,-88.0299,"https://api.weather.gov/gridpoints/MOB/51,92/forecast"
2023-01,2,33.458665,-87.356823,"https://api.weather.gov/gridpoints/BMX/39,81/forecast"
2023-01,53,31.4033,-86.479469,"https://api.weather.gov/gridpoints/MOB/109,102/forecast"
2023-01,60679,31.331148,-85.73019,"https://api.weather.gov/gridpoints/TAE/27,122/forecast"
2023-01,60680,33.626728,-85.969481,"https://api.weather.gov/gridpoints/BMX/90,91/forecast"
2023-01,11,33.7845,-86.0524,"https://api.weather.gov/gridpoints/BMX/86,98/forecast"
2023-01,12,33.2553,-87.4495,"https://api.weather.gov/gridpoints/BMX/36,71/forecast"
2023-01,13,32.6189,-86.2548,"https://api.weather.gov/gridpoints/BMX/82,46/forecast"
2023-01,14,33.425878,-86.337547,"https://api.weather.gov/gridpoints/BMX/77,81/forecast"
2023-01,15,32.9633,-86.5187,"https://api.weather.gov/gridpoints/BMX/71,61/forecast"
2023-01,18,33.9406,-87.1077,"https://api.weather.gov/gridpoints/BMX/47,102/forecast"
2023-01,19,32.535436,-85.887614,"https://api.weather.gov/gridpoints/BMX/96,43/forecast"
2023-01,20,34.172142,-85.753806,"https://api.weather.gov/gridpoints/BMX/96,116/forecast"
2023-01,21,32.5743,-85.8901,"https://api.weather.gov/gridpoints/BMX/96,45/forecast"
2023-01,26,33.244211,-86.458056,"https://api.weather.gov/gridpoints/BMX/73,73/forecast"
2023-01,6001,31.2231,-85.1116,"https://api.weather.gov/gridpoints/TAE/50,118/forecast"
2023-01,6002,33.6319,-87.0597,"https://api.weather.gov/gridpoints/BMX/50,89/forecast"
2023-01,6188,33.258281,-85.616047,"https://api.weather.gov/gridpoints/BMX/104,76/forecast"
2023-01,7697,31.2504,-88.0156,"https://api.weather.gov/gridpoints/MOB/52,92/forecast"
2023-01,7698,32.310226,-86.52542,"https://api.weather.gov/gridpoints/BMX/73,32/forecast"
