fips,lat,lon,point_url
8115,40.87590496,-102.3517912,"https://api.weather.gov/gridpoints/BOU/158,107/forecast"
30065,46.49656119,-108.3980881,"https://api.weather.gov/gridpoints/BYZ/109,125/forecast"
42043,40.41543283,-76.77947276,"https://api.weather.gov/gridpoints/CTP/108,45/forecast"
46101,44.02201136,-96.67092203,"https://api.weather.gov/gridpoints/FSD/100,87/forecast"
54079,38.50861678,-81.90899293,"https://api.weather.gov/gridpoints/RLX/52,73/forecast"
34037,41.13930667,-74.69083933,"https://api.weather.gov/gridpoints/PHI/58,132/forecast"
20039,39.78475649,-100.4598995,"https://api.weather.gov/gridpoints/GLD/100,71/forecast"
18123,38.07963604,-86.63802968,"https://api.weather.gov/gridpoints/LMK/19,68/forecast"
28145,34.49047423,-89.00385691,"https://api.weather.gov/gridpoints/MEG/81,39/forecast"
31015,42.89968476,-98.76646195,"https://api.weather.gov/gridpoints/LBF/139,118/forecast"
27095,45.93804598,-93.63009509,"https://api.weather.gov/gridpoints/MPX/96,117/forecast"
38099,48.36945604,-97.72132409,"https://api.weather.gov/gridpoints/FGF/71,128/forecast"
39115,39.62037347,-81.8526619,"https://api.weather.gov/gridpoints/RLX/49,124/forecast"
39133,41.16768284,-81.19740373,"https://api.weather.gov/gridpoints/CLE/102,52/forecast"
56041,41.28749192,-110.5475617,"https://api.weather.gov/gridpoints/SLC/149,194/forecast"
32013,41.40684657,-118.1119658,"https://api.weather.gov/gridpoints/LKN/47,170/forecast"
48247,27.04339714,-98.69730507,"https://api.weather.gov/gridpoints/BRO/32,56/forecast"
8017,38.82793972,-102.6033958,"https://api.weather.gov/gridpoints/GLD/23,31/forecast"
41005,45.18804511,-122.2208694,"https://api.weather.gov/gridpoints/PQR/124,85/forecast"
5113,34.4857614,-94.22817509,"https://api.weather.gov/gridpoints/LZK/11,60/forecast"
13193,32.35838259,-84.04247941,"https://api.weather.gov/gridpoints/FFC/68,26/forecast"
18007,40.60625846,-87.31090602,"https://api.weather.gov/gridpoints/LOT/90,16/forecast"
47129,36.13502441,-84.64920374,"https://api.weather.gov/gridpoints/MRX/44,57/forecast"
46043,43.38692416,-98.36609836,"https://api.weather.gov/gridpoints/FSD/43,58/forecast"
24047,38.21649998,-75.29667082,"https://api.weather.gov/gridpoints/AKQ/117,117/forecast"
17185,38.4461016,-87.84427489,"https://api.weather.gov/gridpoints/PAH/155,118/forecast"
18069,40.82923996,-85.48817228,"https://api.weather.gov/gridpoints/IWX/58,26/forecast"
