period,plantid,latitude,longitude
2023-01,55557,33.7803,-118.24
2023-01,60791,33.555267,-116.639647
2023-01,50964,40.300833,-120.105
2023-01,10282,40.646733,-123.498008
2023-01,55084,38.0569,-122.2161
2023-01,10162,33.934725,-116.640548
2023-01,438,39.514893,-121.630077
2023-01,448,37.0692,-121.0772
2023-01,7072,34.307444,-117.323548
2023-01,7129,39.528749,-121.546359
2023-01,50632,37.3853,-121.141
2023-01,10213,33.9058,-118.4031
2023-01,10175,32.7992,-117.1517
2023-01,50388,38.018056,-122.2344
2023-01,50119,38.0417,-122.2583
2023-01,10661,40.303422,-121.244431
2023-01,6196,34.6853,-118.7881
2023-01,436,34.2056,-117.3344
2023-01,437,39.542985,-121.492188
2023-01,905,34.8158,-118.6867
2023-01,52147,32.6947,-117.1436
2023-01,7066,39.470447,-120.10455
2023-01,55847,39.109344,-121.60931
2023-01,450,40.628115,-122.467509
2023-01,451,40.797296,-122.762553
2023-01,50748,37.4058,-121.9272
2023-01,55963,38.014423,-121.790679
2023-01,55217,38.030071,-121.873004
2023-01,50963,32.7261,-117.1464
2023-01,10262,34.138467,-118.1256
2023-01,55748,37.425,-121.9319
2023-01,55811,36.224758,-121.124633
2023-01,55813,39.1392,-121.6387
2023-01,56302,35.06094,-118.292406
2023-01,56570,35.1161,-118.3789
2023-01,57302,33.9053,-116.5825
2023-01,60594,35.046061,-118.28273
2023-01,61582,35.073377,-118.268616
2023-01,61583,35.060768,-118.264734
2023-01,61584,35.077872,-118.2497
2023-01,63482,35.080833,-118.361389
2023-01,63941,35.059166,-118.291944
2023-01,54936,32.583571,-116.930907
2023-01,55656,34.9556,-118.844
2023-01,10034,37.0001,-121.5367
2023-01,55810,36.999,-121.5363
2023-01,55393,37.2207,-121.7457
2023-01,50131,36.1807,-120.3885
2023-01,10169,33.8759,-118.2491
2023-01,6013,34.1764,-118.3147
2023-01,7987,34.1772,-118.3147
2023-01,56046,34.1786,-118.3153
2023-01,441,38.70675,-121.158443
2023-01,442,40.646934,-122.626973
2023-01,443,40.611858,-122.446441
2023-01,376,38.2569,-120.8507
2023-01,537,38.2268,-121.0245
2023-01,56036,37.8258,-122.2961
2023-01,57696,37.825833,-122.296111
2023-01,55333,38.0169,-121.8439
2023-01,10300,33.586,-116.0873
2023-01,55935,34.0609,-117.3532
2023-01,10873,36.0372,-117.7981
2023-01,10874,36.0192,-117.7917
2023-01,10875,36.0019,-117.7886
2023-01,55934,34.0606,-117.3533
2023-01,10776,34.1958,-119.1664
2023-01,55951,34.0414,-117.3603
2023-01,457,33.166246,-117.016566
2023-01,10026,33.1165,-117.3215
2023-01,414,38.202569,-120.076983
2023-01,415,38.246656,-120.034072
2023-01,416,37.876111,-120.605
2023-01,50831,37.9676,-122.382
2023-01,626,40.07531,-121.16143
2023-01,632,38.835182,-121.092982
2023-01,682,37.071846,-119.558008
2023-01,714,39.893491,-121.59338
2023-01,6099,35.211536,-120.855542
2023-01,6100,37.029304,-118.968252
2023-01,56144,33.9308,-117.2933
2023-01,56356,33.8912,-117.6085
2023-01,7551,38.530943,-121.400128
2023-01,7552,38.511,-121.4735
2023-01,55970,38.338475,-121.123978
2023-01,56476,38.0175,-121.7587
2023-01,56532,39.3661,-122.27
2023-01,57041,38.4106,-121.9264
2023-01,57497,36.531389,-120.106944
2023-01,57498,36.400278,-120.103333
2023-01,57499,36.378726,-120.124898
2023-01,422,34.126,-118.1494
2023-01,289,36.163076,-118.707104
2023-01,290,40.459111,-121.86708
2023-01,291,38.420898,-120.549572
2023-01,292,38.889862,-121.098525
2023-01,293,37.15105,-119.504724
2023-01,56112,33.9141,-116.5914
2023-01,56362,38.12,-121.85
2023-01,56143,33.9636,-117.4528
2023-01,57521,36.530278,-120.316111
2023-01,57522,36.425085,-120.343543
2023-01,57523,36.181389,-120.030555
2023-01,57891,36.163889,-119.650556
2023-01,57892,36.176389,-120.114167
2023-01,58206,36.142222,-120.1325
2023-01,62564,36.808039,-121.781788
2023-01,425,39.024801,-120.596383
2023-01,426,39.003372,-120.746651
2023-01,535,38.652731,-121.393336
2023-01,6612,38.86429,-120.444335
2023-01,7526,38.116415,-121.769031
2023-01,7527,38.445681,-121.462387
2023-01,430,38.82881,-120.537089
2023-01,431,38.83405,-120.53176
2023-01,432,38.982697,-120.32450299999999
2023-01,433,38.896511,-120.378292
2023-01,435,38.765336,-120.787366
2023-01,296,41.985605,-122.360455
2023-01,297,41.932981,-122.43678
2023-01,295,41.975716,-122.358127
2023-01,294,41.978914,-122.335317
2023-01,424,39.077971,-120.406069
2023-01,50464,34.196,-119.1667
2023-01,55766,38.5136,-121.1944
2023-01,55807,36.2397,-119.9044
2023-01,55698,36.270072,-119.648055
2023-01,56791,33.9393,-116.5527
2023-01,219,40.007445,-121.249438
2023-01,180,40.45193,-121.86215
2023-01,214,39.215979,-120.80355
2023-01,217,36.909137,-119.087712
2023-01,50270,34.464819,-120.044365
2023-01,286,38.777,-122.745
2023-01,57484,34.9349,-118.4612
2023-01,57913,32.663889,-116.289722
2023-01,50674,33.8247,-116.5106
2023-01,6449,34.1548,-117.9093
2023-01,427,39.000999,-120.725053
2023-01,52099,33.643299999999996,-117.9556
2023-01,50696,33.6942,-117.9381
2023-01,531,39.048802,-121.316966
2023-01,534,38.850283,-120.381883
2023-01,54477,39.492,-121.5628
2023-01,10767,36.688915,-119.723218
2023-01,776,39.580413,-121.119479
2023-01,417,39.551012,-121.278784
2023-01,418,39.531784,-121.491247
2023-01,419,39.553811,-121.204077
2023-01,267,40.986361,-121.84944
2023-01,268,40.986197,-121.977594
2023-01,269,40.922568,-121.992906
2023-01,270,40.847462,-121.990798
2023-01,272,39.722892,-121.469814
2023-01,10772,38.8319,-121.313652
2023-01,274,39.361786,-123.127934
2023-01,275,39.90521,-121.345226
2023-01,276,37.203233,-119.497508
2023-01,277,37.253718,-119.519352
2023-01,279,38.497914,-120.21811
2023-01,280,40.395396,-121.879186
2023-01,281,39.324613,-120.644807
2023-01,55933,37.7107,-121.4906
2023-01,10115,32.77973,-117.006397
2023-01,282,39.324592,-120.645375
2023-01,283,39.337679,-120.635467
2023-01,284,38.18653,-120.11168
2023-01,285,38.139048,-120.370325
2023-01,287,38.449291,-120.492645
2023-01,50865,35.9515,-120.8679
2023-01,225,38.771764,-120.813239
2023-01,377,34.1556,-118.2782
2023-01,60974,34.162327,-118.283684
2023-01,510,38.7903,-122.7559
2023-01,50066,38.7879,-122.7434
2023-01,52158,38.8339,-122.881
2023-01,50234,34.1019,-117.6381
2023-01,64614,32.832886,-117.132292
2023-01,60995,33.018486,-116.860713
2023-01,50864,35.9359,-120.8408
2023-01,61366,32.876198,-117.167791
2023-01,64612,32.83347,-117.13443
2023-01,246,40.7415,-124.2103
2023-01,248,40.400988,-121.965502
2023-01,249,40.992295,-121.975182
2023-01,250,37.092486,-119.552826
2023-01,253,40.677827,-121.873253
2023-01,254,36.888166,-119.158777
2023-01,255,39.698755,-121.57096
2023-01,264,38.032103,-120.326537
2023-01,265,40.99084,-121.498243
2023-01,266,40.997448,-121.748139
2023-01,50061,32.778225,-117.070114
2023-01,55512,32.796491,-116.972071
2023-01,55985,33.1197,-117.117778
2023-01,56232,32.8769,-117.166389
2023-01,60569,32.8115,-117.050546
2023-01,60570,33.124446,-117.114274
2023-01,231,39.825907,-121.409687
2023-01,232,39.869265,-121.631819
2023-01,235,39.256873,-120.767437
2023-01,236,39.257388,-120.767046
2023-01,237,39.216985,-120.835587
2023-01,239,38.330985,-120.669901
2023-01,240,36.927424,-119.02025
2023-01,218,36.908907,-119.087556
2023-01,220,39.91062,-121.327692
2023-01,7189,40.597617,-122.538683
2023-01,7307,40.507292,-122.423281
2023-01,382,37.877667,-119.953233
2023-01,751,37.816447,-120.312033
2023-01,57971,37.739722,-122.3925
2023-01,50148,33.78856,-118.229392
2023-01,221,40.175656,-121.190663
2023-01,222,40.085476,-121.148241
2023-01,7452,38.810677,-121.323807
2023-01,380,37.896649,-119.9675
2023-01,381,37.809388,-120.299254
2023-01,56298,38.7928,-121.3811
2023-01,56080,37.4344,-121.9464
2023-01,10718,33.92194,-116.56222
2023-01,50281,33.926111,-116.615
2023-01,54800,36.8347,-119.7667
2023-01,50850,33.989626,-117.680911
2023-01,55345,32.581481,-116.914969
2023-01,7151,39.586864,-122.533248
2023-01,7229,39.814905,-122.332335
